airport_code,airport_name,latitude,longitude
MLD,Malad City Airport,42.1666,-112.297
MLE,Velana International Airport,4.19183,73.5291
MLF,Milford Municipal Airport (Ben and Judy Briscoe Field),38.6097,-112.986
MLG,Abdul Rachman Saleh Airport,-7.92656,112.715
MLI,Quad City International Airport,41.4485,-90.5075
MLJ,Baldwin County Airport,33.1542,-83.2407
MLK,Malta Airport,48.3669,-107.919
MLL,Marshall Don Hunter Sr. Airport,61.8643,-162.026
MLM,General Francisco J. Mujica International Airport,19.8499,-101.025
MLN,Melilla Airport,35.2798,-2.95626
MLO,Milos Island National Airport,36.6969,24.4769
MLP,Malabang Airport,7.61722,124.059
MLQ,Malalaua Airport,-8.07139,146.155
MLR,Millicent Airport,-37.5836,140.366
MLS,Miles City Airport (Frank Wiley Field),46.428,-105.886
MLT,Millinocket Municipal Airport,45.6478,-68.6856
MLU,Monroe Regional Airport,32.5109,-92.0377
MLV,Merluna Airport,-13.0649,142.454
MLW,Spriggs Payne Airport,6.28906,-10.7587
MLX,Malatya Erhac Airport,38.4353,38.091
MLY,Manley Hot Springs Airport,64.9976,-150.644
MLZ,Cerro Largo International Airport,-32.3379,-54.2167
MMB,Memanbetsu Airport,43.8806,144.164
MMC,Ciudad Mante National Airport,22.7432,-99.0174
MMD,Minami-Daito Airport,25.8465,131.263
MME,Teesside International Airport,54.5092,-1.42941
MMF,Mamfe Airport,5.70417,9.30639
MMG,Mount Magnet Airport,-28.1161,117.842
MMH,Mammoth Yosemite Airport,37.6241,-118.838
MMI,McMinn County Airport,35.3973,-84.5626
MMJ,Matsumoto Airport,36.1668,137.923
MMK,Murmansk Airport,68.7817,32.7508
MML,Southwest Minnesota Regional Airport (Marshall/Ryan Field),44.4505,-95.8219
MMM,Middlemount Airport,-22.8025,148.705
MMN,Minute Man Air Field,42.4618,-71.5184
MMO,Maio Airport,15.1559,-23.2137
MMP,San Bernardo Airport,9.79911,-74.786
MMQ,Mbala Airport,-8.85917,31.3364
MMS,Selfs Airport,34.2315,-90.2896
MMT,McEntire Joint National Guard Base,33.9208,-80.8013
MMU,Morristown Municipal Airport,40.7994,-74.4149
MMV,Mal Island Airport,-1.39444,144.171
MMW,Moma Airport,-16.75,39.2167
MMY,Miyako Airport,24.7828,125.295
MMZ,Maymana Airport,35.9308,64.7609
MNA,Melangguane Airport,4.00694,126.673
MNB,Muanda Airport (Moanda Airport),-5.93086,12.3518
MNC,Nacala Airport,-14.4882,40.7122
MND,Medina Airport,4.51667,-73.2833
MNE,Mungeranie Airport,-28.0092,138.657
MNF,Mana Island Airport,-17.6731,177.098
MNG,Maningrida Airport,-12.0561,134.234
MNH,Al-Musannah Airport,23.6406,57.4875
MNI,John A. Osborne Airport,16.7914,-62.1933
MNJ,Mananjary Airport,-21.2018,48.3583
MNK,Maiana Airport,1.00361,173.031
MNL,Ninoy Aquino International Airport / Villamor Air Base,14.5086,121.02
MNM,Menominee-Marinette Twin County Airport,45.1267,-87.6384
MNN,Marion Municipal Airport,40.6162,-83.0635
MNO,Manono Airport,-7.28889,27.3944
MNP,Maron Island Airport,-1.5504,145.017
MNQ,Monto Airport,-24.8858,151.1
MNR,Mongu Airport,-15.2545,23.1623
MNS,Mansa Airport,-11.137,28.8726
MNT,Minto Al Wright Airport,65.1437,-149.37
MNU,Mawlamyaing Airport,16.4447,97.6607
MNV,Mount Valley Airport,-14.1167,133.833
MNW,MacDonald Downs Airport,-22.444,135.199
MNX,Manicore Airport,-5.81138,-61.2783
MNY,Mono Airport,-7.41694,155.565
MNZ,Manassas Regional Airport,38.7214,-77.5154
MOA,Orestes Acosta Airport,20.6539,-74.9222
MOB,Mobile Regional Airport,30.6912,-88.2428
MOC,Montes Claros/Mario Ribeiro Airport,-16.7069,-43.8189
MOD,Modesto City-County Airport (Harry Sham Field),37.6258,-120.954
MOE,Momeik Airport,23.0925,96.6453
MOF,Frans Seda Airport (Wai Oti Airport),-8.64065,122.237
MOG,Monghsat Airport,20.5168,99.2568
MOH,Maleo Airport,-2.20333,121.66
MOI,Mitiaro Airport (Nukuroa Airport),-19.8425,-157.703
MOJ,Moengo Airstrip,5.6076,-54.4003
MOL,Molde Airport,62.7447,7.2625
MOM,Letfotar Airport,17.75,-12.5
MON,Mount Cook Aerodrome,-43.765,170.133
MOO,Moomba Airport,-28.0994,140.197
MOP,Mount Pleasant Municipal Airport,43.6217,-84.7375
MOQ,Morondava Airport,-20.2847,44.3176
MOR,Morristown Regional Airport (Moore-Murrell Airport),36.1795,-83.3752
MOS,Moses Point Airport,47.777,10.623
MOT,Minot International Airport,48.2594,-101.28
MOU,Mountain Village Airport,62.0954,-163.682
MOV,Moranbah Airport,-22.0578,148.077
MOX,Morris Municipal Airport,45.5704,-95.9684
MOY,Monterrey Airport,4.90693,-72.8948
MOZ,Moorea Airport (Temae Airport),-17.49,-149.762
MPA,Katima Mulilo Airport (Mpacha Airport),-17.6344,24.1767
MPB,Miami Seaplane Base,25.7783,-80.1703
MPC,Muko-Muko Airport,-2.54186,101.088
MPD,Sindhri Airport,25.6828,69.0728
MPF,Mapoda Airport,-7.979,143.169
MPG,Makini Airport,-6.53222,147.651
MPH,Godofredo P. Ramos Airport (Caticlan Airport),11.9245,121.954
MPI,Mamitupo Airport,9.1851,-77.9841
MPJ,Petit Jean Park Airport,35.1389,-92.9092
MPL,Montpellier-Mediterranee Airport (Frejorgues Airport),43.5762,3.96301
MPM,Maputo International Airport,-25.9208,32.5726
MPN,RAF Mount Pleasant,-51.8228,-58.4472
MPO,Pocono Mountains Municipal Airport,41.1375,-75.3789
MPP,Mulatupo Airport,8.9453,-77.7331
MPQ,Ma'an Airport,30.1667,35.7833
MPR,McPherson Airport,38.3524,-97.6913
MPS,Mount Pleasant Regional Airport,32.8981,-79.7828
MPT,Maliana Airport,-8.97224,125.215
MPU,Mabua Airstrip,-2.81139,151.991
MPV,Edward F. Knapp State Airport,44.2035,-72.5623
MPW,Mariupol International Airport,47.0761,37.4496
MPX,Miyanmin Airport,-4.90306,141.621
MPY,Maripasoula Airport,3.6575,-54.0372
MPZ,Mount Pleasant Municipal Airport,40.9466,-91.5111
MQA,Mandora Station Airport,-19.7383,120.838
MQB,Macomb Municipal Airport,40.5201,-90.6524
MQC,Miquelon Airport,47.0955,-56.3803
MQD,Maquinchao Airport,-41.2431,-68.7078
MQE,Marqua Airport,-22.8058,137.251
MQF,Magnitogorsk International Airport,53.3931,58.7557
MQG,Midgard Airport,-22.0106,17.37
MQH,Minacu Airport,-13.5491,-48.1953
MQJ,Moma Airport,66.4509,143.262
MQK,San Matias Airport,-16.3392,-58.4019
MQL,Mildura Airport,-34.2292,142.086
MQM,Mardin Airport,37.2233,40.6317
MQN,Mo i Rana Airport,66.3639,14.3014
MQO,Malam Airport,-8.70917,142.65
MQP,Kruger Mpumalanga International Airport,-25.3832,31.1056
MQQ,Moundou Airport,8.62441,16.0714
MQR,Mosquera Airport,2.64955,-78.3361
MQS,Mustique Airport,12.8879,-61.1802
MQT,Sawyer International Airport,46.3536,-87.3954
MQU,Mariquita Airport,5.21256,-74.8836
MQV,Mostaganem Airport,35.9088,0.149383
MQW,Telfair-Wheeler Airport,32.0946,-82.8822
MQX,Alula Aba Nega Airport,13.4674,39.5335
MQY,Smyrna Airport,36.009,-86.5201
MQZ,Margaret River Airport,-33.9306,115.1
MRA,Misrata Airport,32.325,15.061
MRB,Eastern WV Regional Airport (Shepherd Field),39.4019,-77.9846
MRC,Maury County Airport,35.5541,-87.1789
MRD,Alberto Carnevalli Airport,8.58208,-71.161
MRE,Mara Serena Airport,-1.40611,35.0081
MRF,Marfa Municipal Airport,30.3711,-104.018
MRG,Mareeba Airfield,-17.0692,145.419
MRH,May River Airport,-4.3615,141.785
MRI,Merrill Field,61.2135,-149.844
MRJ,Marcala Airport,14.1619,-88.0344
MRK,Marco Island Airport,25.995,-81.6725
MRL,Miners Lake Airport,46.3834,-82.6331
MRM,Manari Airport,-9.1908,147.622
MRN,Foothills Regional Airport (was Morganton-Lenoir Airport),35.8202,-81.6114
MRO,Hood Aerodrome,-40.9733,175.634
MRP,Marla Airport,-27.3333,133.627
MRQ,Marinduque Airport,13.361,121.826
MRR,Jose Maria Velasco Ibarra Airport,-4.37823,-79.941
MRS,Marseille Provence Airport,43.4393,5.22142
MRT,Moroak Airport,-14.8181,133.701
MRU,Sir Seewoosagur Ramgoolam International Airport,-20.4302,57.6836
MRV,Mineralnye Vody Airport,44.2251,43.0819
MRW,Lolland Falster Airport,54.6993,11.4401
MRX,Mahshahr Airport,30.5562,49.1519
MRY,Monterey Regional Airport,36.587,-121.843
MRZ,Moree Airport,-29.4989,149.845
MSA,Muskrat Dam Airport,53.4414,-91.7628
MSC,Falcon Field Airport,33.4608,-111.728
MSD,Mount Pleasant Airport,39.5266,-111.476
MSE,Manston Airport,51.3422,1.34611
MSF,Mount Swan Airport,-22.6247,135.035
MSG,Matsaile Airport,-29.8408,28.7764
MSH,Masirah Air Base,20.6754,58.8905
MSI,Masalembo Airport,-5.58333,114.433
MSJ,Misawa Air Base,40.7032,141.368
MSL,Northwest Alabama Regional Airport,34.7453,-87.6102
MSM,Masi-Manimba Airport,-4.783,17.85
MSN,Dane County Regional Airport (Truax Field),43.1399,-89.3375
MSO,Missoula International Airport,46.9163,-114.091
MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
MSQ,Minsk National Airport,53.8825,28.0307
MSR,Mus Airport,38.7478,41.6612
MSS,Massena International Airport (Richards Field),44.9358,-74.8456
MST,Maastricht Aachen Airport,50.9117,5.77014
MSU,Moshoeshoe I International Airport,-29.4623,27.5525
MSV,Sullivan County International Airport,41.7016,-74.795
MSW,Massawa International Airport,15.67,39.3701
MSX,Mossendjo Airport,-2.95,12.7
MSY,Louis Armstrong New Orleans International Airport,29.9934,-90.258
MSZ,Namibe Airport (Yuri Gagarin Airport),-15.2612,12.1468
MTA,Matamata Airport,-37.7344,175.742
MTB,Montelibano Airport,7.97174,-75.4325
MTC,Selfridge Air National Guard Base,42.6135,-82.8369
MTD,Mount Sandford Station Airport,-16.9783,130.555
MTE,Monte Alegre Airport,-1.9958,-54.0742
MTF,Mizan Teferi Airport,6.9571,35.5547
MTG,Mato Grosso Airport,-14.9942,-59.9458
MTH,Florida Keys Marathon Airport,24.7261,-81.0514
MTI,Mosteiros Airport,15.045,-24.3392
MTJ,Montrose Regional Airport,38.5098,-107.894
MTK,Makin Airport,3.37444,172.992
MTL,Maitland Airport,-32.7013,151.493
MTM,Metlakatla Seaplane Base,55.131,-131.578
MTN,Martin State Airport,39.3257,-76.4138
MTO,Coles County Memorial Airport,39.4779,-88.2792
MTP,Montauk Airport,41.0765,-71.9208
MTQ,Mitchell Airport,-26.4833,147.937
MTR,Los Garzones Airport,8.82374,-75.8258
MTS,Matsapha Airport,-26.529,31.3075
MTT,Minatitlan/Coatzacoalcos International Airport,18.1034,-94.5807
MTU,Montepuez Airport,-13.1219,39.0528
MTV,Mota Lava Airport,-13.666,167.712
MTW,Manitowoc County Airport,44.1288,-87.6806
MTX,Metro Field,64.8068,-147.762
MTY,General Mariano Escobedo International Airport,25.7785,-100.107
MTZ,Bar Yehuda Airfield (Masada Airfield),31.3282,35.3886
MUA,Munda Airport,-8.32797,157.263
MUB,Maun Airport,-19.9726,23.4311
MUC,Munich Airport,48.3538,11.7861
MUD,Mueda Airport,-11.6729,39.5631
MUE,Waimea-Kohala Airport,20.0013,-155.668
MUF,Muting Airport,-7.3147,140.567
MUG,Mulege Airstrip,26.9053,-111.971
MUH,Marsa Matruh International Airport,31.3254,27.2217
MUI,Muir Army Airfield,40.4348,-76.5694
MUJ,Mui Airport,5.8646,35.7485
MUK,Mauke Airport,-20.1361,-157.345
MUL,Spence Airport,31.1378,-83.7042
MUN,Jose Tadeo Monagas International Airport,9.75453,-63.1474
MUO,Mountain Home Air Force Base,43.0436,-115.872
MUP,Mulga Park Airport,-25.86,131.65
MUQ,Muccan Station Airport,-20.6589,120.067
MUR,Marudi Airport,4.17898,114.329
MUS,Minami Torishima Airport,24.2897,153.979
MUT,Muscatine Municipal Airport,41.3678,-91.1482
MUW,Ghriss Airport,35.2077,0.147142
MUX,Multan International Airport,30.2032,71.4191
MUY,Mouyondzi Airport,-4.01487,13.9661
MUZ,Musoma Airport,-1.503,33.8021
MVA,Myvatn Airport,65.6558,-16.9181
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,-1.65616,13.438
MVC,Monroe County Airport,31.458,-87.351
MVD,Carrasco Gral. Cesareo L. Berisso International Airport,-34.8384,-56.0308
MVE,Montevideo-Chippewa County Airport,44.9691,-95.7103
MVF,Gov. Dix-Sept Rosado Airport,-5.20192,-37.3643
MVG,Mevang Airport,0.08333,11.0833
MVH,Macksville Airport,-30.7,152.917
MVI,Manetai Airport,-6.12,155.39
MVK,Mulka Airport,-28.3478,138.65
MVL,Morrisville-Stowe State Airport,44.5346,-72.614
MVM,Kayenta Airport,36.7164,-110.228
MVN,Mount Vernon Airport,38.3219,-88.8535
MVO,Mongo Airport,12.167,18.675
MVP,Fabio Alberto Leon Bentley Airport,1.25366,-70.2339
MVQ,Mogilev Airport,53.9549,30.0951
MVR,Salak Airport,10.4514,14.2574
MVS,Mucuri Airport,-18.0489,-39.8642
MVT,Mataiva Airport,-14.8681,-148.717
MVU,Musgrave Airport,-14.7757,143.505
MVV,Megeve Altiport,45.8208,6.65222
MVW,Skagit Regional Airport,48.4709,-122.421
MVX,Minvoul Airport,2.15,12.133
MVY,Martha's Vineyard Airport,41.3931,-70.6143
MVZ,Masvingo Airport,-20.0553,30.8591
MWA,Williamson County Regional Airport,37.755,-89.0111
MWB,Morawa Airport,-29.2017,116.022
MWC,Lawrence J. Timmerman Airport,43.1104,-88.0344
MWD,PAF Base M.M. Alam,32.5631,71.5707
MWE,Merowe Airport,18.4433,31.8433
MWF,Maewo-Naone Airport,-15,168.083
MWG,Marawaka Airport,-6.9736,145.885
MWH,Grant County International Airport,47.2077,-119.32
MWI,Maramuni Airport,-5.13,143.483
MWJ,Matthews Ridge Airport,7.48811,-60.1848
MWK,Matak Airport (Tarempa Airport),3.34812,106.258
MWL,Mineral Wells Airport,32.7816,-98.0602
MWM,Windom Municipal Airport,43.9134,-95.1094
MWN,Mwadui Airport,-3.52133,33.6155
MWO,Middletown Regional Airport (Hook Field),39.531,-84.3953
MWQ,Magway Airport,20.1656,94.9414
MWR,Motswari Airstrip,-24.1903,31.3864
MWT,Moolawatana Airport,-29.9069,139.765
MWU,Mussau Island Airport,-1.5,149.667
MWV,Mondulkiri Airport,12.4636,107.187
MWX,Muan International Airport,34.9914,126.383
MWY,Miranda Downs Airport,-17.3289,141.886
MWZ,Mwanza Airport,-2.44449,32.9327
MXA,Manila Municipal Airport,35.8944,-90.1546
MXB,Andi Jemma Airport,-2.55803,120.324
MXC,Monticello Airport,37.9324,-109.341
MXD,Marion Downs Airport,-23.3637,139.65
MXE,Laurinburg-Maxton Airport,34.7919,-79.3658
MXF,Maxwell Air Force Base,32.3829,-86.3658
MXG,Marlboro Airport,42.3432,-71.509
MXH,Moro Airport,-6.36333,143.238
MXI,Mati Airport (Imelda R. Marcos Airport),6.94909,126.274
MXJ,Minna Airport,9.65217,6.46226
MXK,Mindik Airport,-6.47167,147.441
MXL,General Rodolfo Sanchez Taboada International Airport,32.6306,-115.242
MXM,Morombe Airport,-21.7539,43.3755
MXN,Morlaix - Ploujean Airport,48.6032,-3.81578
MXO,Monticello Regional Airport,42.2263,-91.1635
MXP,Milan-Malpensa Airport,45.6306,8.72811
MXR,Myrhorod Air Base,13.6457,16.5014
MXS,Maota Airport,-13.7423,-172.258
MXT,Maintirano Airport,-18.05,44.033
MXU,Mullewa Airport,-28.475,115.517
MXV,Moron Airport,49.6633,100.099
MXW,Mandalgovi Airport,45.7381,106.269
MXX,Mora-Siljan Airport,60.9579,14.5114
MXY,McCarthy Airport,61.4371,-142.904
MXZ,Meixian Airport,24.35,116.133
MYA,Moruya Airport,-35.8978,150.144
MYB,Mayumba Airport,-3.45842,10.6741
MYC,Mariscal Sucre Airport,10.25,-67.6494
MYD,Malindi Airport,-3.22931,40.1017
MYE,Miyakejima Airport,34.0736,139.56
MYF,Montgomery Field Airport,32.8157,-117.14
MYG,Mayaguana Airport (Abraham's Bay Airport),22.3795,-73.0135
MYH,Marble Canyon Airport,36.8116,-111.642
MYI,Murray Island Airport,-9.91667,144.055
MYJ,Matsuyama Airport,33.8272,132.7
MYK,May Creek Airport,61.3357,-142.687
MYL,McCall Municipal Airport,44.8897,-116.101
MYM,Monkey Mountain Airport,4.48333,-59.6833
MYN,Marib Airport,15.4692,45.3269
MYO,Myroodah Airport,-18.1247,124.272
MYP,Mary International Airport,37.6194,61.8967
MYQ,Mysore Airport (Mandakalli Airport),12.23,76.6558
MYR,Myrtle Beach International Airport,33.6797,-78.9283
MYT,Myitkyina Airport,25.3836,97.3519
MYU,Mekoryuk Airport,60.3714,-166.271
MYV,Yuba County Airport,39.0978,-121.57
MYW,Mtwara Airport,-10.3391,40.1818
MYX,Menyamya Airport,-7.21167,146.019
MYY,Miri Airport,4.32201,113.987
MYZ,Monkey Bay Airport,-14.0836,34.9197
MZA,Manuel Prado Ugarteche Airport,-11.3254,-74.5356
MZB,Mocimboa da Praia Air,-11.3618,40.3549
MZC,Mitzic Airport,0.783,11.55
MZD,Mendez Airport,-2.73333,-78.3167
MZE,Manatee Airport,17.2785,-89.0238
MZF,Wild Coast Sun Airport,-31.25,29.833
MZG,Magong Airport,23.5687,119.628
MZH,Amasya Merzifon Airport,40.8294,35.522
MZI,Mopti Airport (Ambodedjo Airport),14.5128,-4.07956
MZJ,Pinal Airpark,32.5106,-111.328
MZK,Marakei Airport,2.05861,173.271
MZL,La Nubia Airport (Santaguida Airport),5.0296,-75.4647
MZM,Metz-Frescaty Air Base,49.0717,6.13167
MZN,Minj Airport,-5.86667,144.667
MZO,Sierra Maestra Airport,20.2881,-77.0892
MZP,Motueka Aerodrome,-41.1233,172.989
MZQ,Mkuze Airport,-27.6261,32.0443
MZR,Mazar-e Sharif International Airport,36.7069,67.2097
MZT,General Rafael Buelna International Airport,23.1614,-106.266
MZU,Muzaffarpur Airport,26.1191,85.3137
MZV,Mulu Airport,4.04833,114.805
MZW,Mecheria Airport,33.5359,-0.242353
MZX,Mena Airport,6.35,39.7167
MZY,Mossel Bay Airport,-34.1583,22.0586
MZZ,Marion Municipal Airport,40.4899,-85.6797
NAA,Narrabri Airport,-30.3192,149.827
NAC,Naracoorte Airport,-36.9853,140.725
NAD,Macanal Airport,2.56667,-67.5833
NAE,Boundetingou Airport,10.377,1.36051
NAF,Banaina Airport,2.72305,117.126
NAG,Dr. Babasaheb Ambedkar International Airport,21.0922,79.0472
NAH,Naha Airport,3.68321,125.528
NAI,Annai Airport,3.95944,-59.1242
NAJ,Nakhchivan International Airport,39.1888,45.4584
NAK,Nakhon Ratchasima Airport,14.9495,102.313
NAL,Nalchik Airport,43.5129,43.6366
NAM,Namlea Airport,-3.23557,127.1
NAN,Nadi International Airport,-17.7554,177.443
NAO,Nanchong Gaoping Airport,30.7955,106.163
NAP,Naples International Airport,40.886,14.2908
NAQ,Qaanaaq Airport,77.4886,-69.3887
NAR,Puerto Nare Airport,6.21002,-74.5906
NAS,Lynden Pindling International Airport,25.039,-77.4662
NAT,Sao Goncalo do Amarante-Governador Aluizio Alves International Airport,-5.76806,-35.3761
NAU,Napuka Airport,-14.1768,-141.267
NAV,Nevsehir Kapadokya Air,38.7719,34.5345
NAW,Narathiwat Airport,6.51992,101.743
NAZ,Nana Airport,-10.6758,162.205
NBA,Nambaiyufa Airport,-6.2412,145.242
NBB,Barranco Minas Airport,3.48333,-69.8
NBC,Begishevo Airport,55.5647,52.0925
NBE,Enfidha-Hammamet International Airport,36.0758,10.4386
NBG,NAS JRB New Orleans (Alvin Callender Field),29.8253,-90.035
NBH,Nambucca Heads Airport,-30.65,153
NBL,Wannukandi Airport,9.4496,-78.9795
NBN,Annobon Air,-1.41028,5.62194
NBO,Jomo Kenyatta International Airport,-1.31924,36.9278
NBS,Changbaishan Airport,42.0669,127.602
NBW,Guantanamo Bay Naval Base,19.9065,-75.2071
NBX,Nabire Airport,-3.36818,135.496
NCA,North Caicos Airport,21.9175,-71.9396
NCE,Nice Cote d'Azur Airport,43.6584,7.21587
NCG,Nuevo Casas Grandes Municipal Airport,30.3974,-107.875
NCH,Nachingwea Airport,-10.3575,38.7792
NCI,Antioquia Airport,8.45,-76.7833
NCJ,Sunchales Airport,-30.9575,-61.5283
NCL,Newcastle Airport,55.0375,-1.69167
NCN,Chenega Bay Airport,60.0773,-147.992
NCO,Quonset State Airport,41.5971,-71.4121
NCR,San Carlos Airport,11.1334,-84.77
NCS,Newcastle Airport,-27.7706,29.9769
NCT,Nicoya Guanacaste Airport,10.1394,-85.4458
NCU,Nukus Airport,42.4884,59.6233
NCY,Annecy - Haute-Savoie - Mont Blanc Airport,45.9308,6.10639
NDA,Bandanaira Airport,-4.5214,129.905
NDB,Nouadhibou International Airport,20.9331,-17.03
NDC,Shri Guru Gobind Singh Ji Airport,19.1833,77.3167
NDD,Sumbe Airport,-11.1679,13.8475
NDE,Mandera Airport,3.933,41.85
NDF,N'dalatando Airport,-9.27519,14.9772
NDG,Qiqihar Sanjiazi Airport,47.2396,123.918
NDI,Namudi Airport,-9.47375,148.329
NDJ,N'Djamena International Airport,12.1337,15.034
NDK,Namorik Airport (Namdrik Airport),5.63167,168.125
NDL,N'Dele Airport,8.42721,20.6352
NDM,Mendi Airport,9.767,35.1
NDN,Nadunumu Airport,-9.14356,147.684
NDR,Nador International Airport,34.9888,-3.02821
NDS,Sandstone Airport,-27.98,119.297
NDU,Rundu Airport,-17.9565,19.7194
NDY,Sanday Airport,59.2503,-2.57667
NEC,Necochea Airport,-38.4831,-58.8172
NEF,Neftekamsk Airport,56.1069,54.3472
NEG,Negril Aerodrome,18.3428,-78.3321
NEJ,Nejjo Airport,9.55,35.467
NEK,Nekemte Airport,9.05,36.6
NEL,NAES Lakehurst (Maxfield Field),40.0333,-74.3533
NEN,NOLF Whitehouse,30.3539,-81.8719
NER,Chulman Neryungri Airport,56.9139,124.914
NEU,Nathong Airport,20.4184,104.067
NEV,Vance W. Amory International Airport,17.2057,-62.5899
NEW,Lakefront Airport,30.0424,-90.0283
NFG,Nefteyugansk Airport,61.1083,72.65
NFL,NAS Fallon (Van Voorhis Field),39.4166,-118.701
NFO,Niuafo'ou Airport,-15.5708,-175.633
NFR,Nafoora Airport,29.2132,21.5924
NGA,Young Airport,-34.2556,148.248
NGB,Ningbo Lishe International Airport,29.8267,121.462
NGD,Auguste George Airport,18.7272,-64.3297
NGE,Ngaoundere Airport,7.35701,13.5592
NGF,MCAS Kaneohe Bay,21.4505,-157.768
NGI,Gau Airport,-18.1156,179.34
NGK,Nogliki Airport,51.7801,143.139
NGL,Ngala Airfield,-24.389,31.326
NGN,Nargana Airport,9.06667,-78.0167
NGO,Chubu Centrair International Airport,34.8584,136.805
NGP,NAS Corpus Christi (Truax Field),27.6926,-97.2911
NGQ,Ngari Gunsa Airport,32.1,80.0531
NGR,Ningerum Airport,-5.66667,141.117
NGS,Nagasaki Airport,32.9169,129.914
NGU,NS Norfolk (Chambers Field),36.9376,-76.2893
NGW,NOLF Cabaniss Field,27.7027,-97.4389
NGX,Manang Airport,28.6414,84.0892
NHA,Nha Trang Air Base,12.2275,109.192
NHD,Al Minhad Air Base,25.0268,55.3662
NHF,New Halfa Airport,15.3556,35.7278
NHK,NAS Patuxent River (Trapnell Field),38.286,-76.4118
NHS,Nushki Airport,29.539,66.0233
NHT,RAF Northolt,51.553,-0.418167
NHV,Nuku Hiva Airport,-8.7956,-140.229
NHX,NOLF Barin,30.3891,-87.6353
NHZ,Brunswick Executive Airport,43.8922,-69.9386
NIA,Nimba Airport,7.5,-8.6
NIB,Nikolai Airport,63.0186,-154.358
NIF,Nifty Airport,-21.6717,121.587
NIG,Nikunau Airport,-1.31444,176.41
NIK,Niokolo-Koba Airport,13.052,-12.7272
NIM,Diori Hamani International Airport,13.4815,2.18361
NIN,Ninilchik Airport,60.0207,-151.591
NIO,Nioki Airport,-2.7175,17.6847
NIP,NAS Jacksonville (Towers Field),30.2358,-81.6806
NIR,Chase Field Industrial Complex,28.3624,-97.6619
NIS,Simberi Airport,-2.66222,151.998
NIT,Niort - Souche Airport,46.3135,-0.394529
NIU,Niau Airport,-16.1191,-146.368
NIX,Nioro Airport,15.2381,-9.57611
NJA,Naval Air Facility Atsugi,35.4546,139.45
NJC,Nizhnevartovsk Airport,60.9493,76.4836
NJF,Al Najaf International Airport,31.9899,44.4043
NJK,NAF El Centro,32.8292,-115.672
NKA,Nkan Airport,0.7,9.98333
NKB,Noonkanbah Airport,-18.4947,124.852
NKC,Nouakchott-Oumtounsy International Airport,18.31,-15.9697
NKD,Sinak Airport,-3.822,137.841
NKG,Nanjing Lukou International Airport,31.742,118.862
NKI,Naukati Bay Seaplane Base,55.8496,-133.228
NKL,Nkolo-Fuma Airport,-5.421,14.8169
NKM,Nagoya Airfield (Komaki Airport),35.255,136.924
NKN,Nankina Airport,-5.837,146.453
NKP,Nukutepipi Airport,-20.7,-143.047
NKS,Nkongsamba Airport,4.95,9.933
NKT,Sirnak Airport,37.3647,42.0582
NKU,Nkaus Airport,-30.0217,28.1969
NKX,MCAS Miramar,32.8684,-117.143
NKY,Yokangassi Airport,-4.22308,13.2863
NLA,Simon Mwansa Kapwepwe International Airport,-12.9981,28.6649
NLC,NAS Lemoore (Reeves Field),36.333,-119.952
NLD,Quetzalcoatl International Airport,27.4439,-99.5705
NLE,Jerry Tyler Memorial Airport,41.8359,-86.2252
NLF,Darnley Island Airport,-9.58333,143.767
NLG,Nelson Lagoon Airport,56.0075,-161.16
NLH,Ninglang Luguhu Airport,27.5403,100.759
NLI,Nikolayevsk-on-Amur Airport,53.155,140.65
NLK,Norfolk Island Airport,-29.0416,167.939
NLL,Nullagine Airport,-21.9133,120.198
NLN,Kneeland Airport,40.7193,-123.928
NLO,N'Dolo Airport,-4.32666,15.3275
NLP,Nelspruit Airport,-25.5,30.9138
NLS,Nicholson Airport,-18.05,128.9
NLT,Xinyuan Nalati Airport,43.4318,83.3786
NLU,Felipe Ángeles International Airport,19.7553,-99.0164
NLV,Mykolaiv International Airport,47.0579,31.9198
NMA,Namangan Airport,40.9846,71.5567
NMB,Daman Airport,20.4344,72.8432
NMC,Norman's Cay Airport,24.5943,-76.8202
NME,Nightmute Airport,60.471,-164.701
NMF,Maafaru International Airport,5.82222,73.4747
NMG,San Miguel Airport,8.4566,-78.9339
NML,Fort McMurray/Mildred Lake Airport,57.0556,-111.574
NMN,Nomane Airport,-6.32183,145.071
NMP,New Moon Airport,-19.2,145.773
NMR,Nappa Merrie Airport,-27.5583,141.133
NMS,Nansang Airport,20.8905,97.7359
NMT,Namtu Airport,23.083,97.383
NNA,Kenitra Air Base,34.2989,-6.59588
NNB,Santa Ana Airport,-10.848,162.454
NND,Nangade Airport,-11.073,39.68
NNG,Nanning Wuxu International Airport,22.6083,108.172
NNI,Namutoni Airport,-18.8064,16.9272
NNK,Naknek Airport,58.7329,-157.02
NNL,Nondalton Airport,59.9802,-154.839
NNM,Naryan-Mar Airport,67.64,53.1219
NNR,Connemara Airport,53.2303,-9.46778
NNT,Nan Nakhon Airport,18.8079,100.783
NNU,Nanuque Airport,-17.8233,-40.3299
NNX,Nunukan Airport,4.13333,117.667
NNY,Nanyang Jiangying Airport,32.9808,112.615
NOA,NAS Nowra,-34.9489,150.537
NOB,Nosara Airport,9.97649,-85.653
NOC,Ireland West Airport Knock,53.9103,-8.81849
